Event-Name,Event-Details
Roald Dahl's Charlie and the Chocolate Factory,"<div class=""content""> <div class=""show-run""> <span>Tuesday, February 26, 2019</span> to <span>Sunday, March 03, 2019</span> </div> <img alt="""" class=""wp-image-2338 size-large aligncenter"" height=""450"" sizes=""(max-width: 680px) 100vw, 680px"" src=""https://www.proctors.org/wp-content/uploads/sites/4/2018/01/CharlieandChocolateb-1024x678.jpg"" srcset=""https://www.proctors.org/wp-content/uploads/sites/4/2018/01/CharlieandChocolateb-1024x678.jpg 1024w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/CharlieandChocolateb-300x200.jpg 300w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/CharlieandChocolateb-768x508.jpg 768w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/CharlieandChocolateb.jpg 1200w"" width=""680""/> <p>Roald Dahl’s amazing tale is now Schenectady’s golden ticket! It’s the perfect recipe for a delectable treat: songs from the original film, including “Pure Imagination,” “The Candy Man,” and “I’ve Got a Golden Ticket,” alongside a toe-tapping and ear-tickling new score from the songwriters of Hairspray. Get ready for Oompa-Loompas, incredible inventions, the great glass elevator, and more, more, more at this everlasting showstopper!</p> <p>The Sunday 2 pm performance will feature a sign language interpreter. To request access to this section, please call our box office at 518.346.6204.</p> <h2>Special Events and Programs</h2> <p><a href=""https://school.proctors.org/theatretalks/"" rel=""noopener"" target=""_blank""><strong>Henry Schaffer TheatreTalks – February 28, 2019</strong></a><br/> Henry Schaffer TheatreTalks offer guests exclusive behind-the-scenes discussions with cast, crew and industry professionals! TheatreTalks are FREE and open to all ticket holders. Talk will follow the Thursday matinee performance starting at approximately 4 pm in the GE Theatre. Dates and times subject to change.</p> <p><strong>Apostrophe Café Thursday Matinee</strong><br/> Lunch – February 28, 2019<br/> <a href=""https://tickets.proctors.org/TheatreManager/95/online?performance=32866"">Click here</a> to pre-order your lunch for pick up at Apostrophe Café</p> <p>Looking for the study guide? <a href=""https://school.proctors.org/wp-content/uploads/sites/2/2018/10/CATCF_TOUR_Study_Guide.pdf"">Click here</a></p> </div>"
Erth's Prehistoric Aquarium Adventure,"<div class=""content""> <div class=""show-run""> <span>Friday, February 15, 2019</span> </div> <p><img src=""https://www.proctors.org/wp-content/uploads/sites/4/2018/06/PAA-web-banner.jpeg""/></p> <p>The creators of Erth’s Dinosaur Zoo Live want to take your family on an all new adventure – this time to the bottom of the ocean. Erth’s Prehistoric Aquarium Adventure is an immersive experience that invites you to jump in and explore unknown ocean depths where prehistoric marine reptiles lived eons ago – and maybe live still today! Erth shows are at the forefront of family entertainment, using actors, technology, puppets, science and imagination to create an amazing visual experience that connects young audiences to the real science of paleontology. www.prehistoricaquarium.com</p> <p><strong>VIP Experience:</strong> With purchase of the VIP Experience ticket, you not only get the best seats in the house, but you’re invited into the theatre early for an up-close-and-personal introduction to one of our amazing underwater creatures by knowledgeable puppeteers who bring them to life. You also receive show merchandise and of course, picture taking is encouraged!</p> <p>VIP DINO PACK includes:</p> <ul> <li>One Premium Seat in the front rows of the theatre</li> <li>Exclusive pre-show meet and greet with a show puppeteer and one of the creatures. Photo taking is encouraged. This begins 90 minutes prior to show time. At 5:30 p.m.</li> <li>Official Prehistoric Aquarium Adventure merchandise item</li> </ul> <p> </p> </div>"
The Book of Mormon,"<div class=""content""> <div class=""show-run""> <span>Tuesday, May 14, 2019</span> to <span>Sunday, May 19, 2019</span> </div> <p>Enter your VIP PRESALE code here:</p> <div style=""text-align: center""><strong style=""font-size: 12px;text-align: center""><strong style=""line-height: 15.384px""><strong><a href=""https://tickets.proctors.org/TheatreManager/95/login&amp;coupon=0"" rel=""noopener"" style=""font-size: 24px;color: #000000;padding: 0.25em 1em;text-decoration: none;background: none 0px 0px repeat scroll #f4ae2c"" target=""_blank"">PRESALE</a></strong></strong></strong></div> <p> </p> <img alt="""" class=""alignnone wp-image-2336 size-large"" height=""453"" sizes=""(max-width: 680px) 100vw, 680px"" src=""https://www.proctors.org/wp-content/uploads/sites/4/2018/02/The-Book-of-Mormon-Company-The-Book-of-Mormon-c-Julieta-Cervantes-2017_preview-1024x682.jpeg"" srcset=""https://www.proctors.org/wp-content/uploads/sites/4/2018/02/The-Book-of-Mormon-Company-The-Book-of-Mormon-c-Julieta-Cervantes-2017_preview-1024x682.jpeg 1024w, https://www.proctors.org/wp-content/uploads/sites/4/2018/02/The-Book-of-Mormon-Company-The-Book-of-Mormon-c-Julieta-Cervantes-2017_preview-300x200.jpeg 300w, https://www.proctors.org/wp-content/uploads/sites/4/2018/02/The-Book-of-Mormon-Company-The-Book-of-Mormon-c-Julieta-Cervantes-2017_preview-768x512.jpeg 768w, https://www.proctors.org/wp-content/uploads/sites/4/2018/02/The-Book-of-Mormon-Company-The-Book-of-Mormon-c-Julieta-Cervantes-2017_preview.jpeg 1280w"" width=""680""/> <p>The New York Times calls it “the best musical of this century.” The Washington Post says, “It is the kind of evening that restores your faith in musicals.” And Entertainment Weekly says, “Grade A: the funniest musical of all time.” Jimmy Fallon of The Tonight Show calls it “Genius. Brilliant. Phenomenal.” It’s The Book of Mormon, the nine-time Tony Award®-winning Best Musical. Contains explicit language.</p> <p>The Sunday 1:30 pm performance will feature a sign language interpreter. To request access to this section, please call our box office at 518.346.6204.</p> <p>Run Time: There will be two 60-minute acts with a 20-minute intermission.</p> <h2>Special Events and Programs</h2> <p><a href=""https://school.proctors.org/theatretalks/"" rel=""noopener"" target=""_blank""><strong>Henry Schaffer TheatreTalks – May 16, 2019</strong></a><br/> Henry Schaffer TheatreTalks offer guests exclusive behind-the-scenes discussions with cast, crew and industry professionals! TheatreTalks are FREE and open to all ticket holders. Talk will follow the Thursday matinee performance starting at approximately 4 pm in the GE Theatre. Dates and times subject to change.</p> <p><strong>Apostrophe Café Thursday Matinee</strong><br/> Lunch – May 16, 2019<br/> <a href=""https://tickets.proctors.org/TheatreManager/95/online?performance=32905"">Click here</a> to pre-order your lunch for pick up at Apostrophe Café</p> </div>"
National Geographic Live! Terry Virts,"<div class=""content"">
<div class=""show-run"">
<span>Thursday, January 31, 2019</span> </div>
<p>National Geographic Live View From Above<br/>
Terry Virts, NASA Astronaut<br/>
January 31st, 2019</p>
<p>Sometimes, a little distance is all you need to see things in a brand-new way. For astronaut Terry Virts, his newfound perspective was from the International Space Station (ISS), where he installed the Cupola module, granting an unprecedented 360-degree view from the station. When he later became the commander of the ISS, he made good use of the Cupola, taking more photographs than any astronaut who came before him. Many of those images were later used in the National Geographic book View From Above and IMAX film A Beautiful Planet, but to hear Virts tell it, no photo can capture the perfect shade of blue from a sunrise viewed from outer space.</p>
<img alt="""" class=""alignnone size-medium wp-image-1987"" height=""184"" sizes=""(max-width: 300px) 100vw, 300px"" src=""https://www.proctors.org/wp-content/uploads/sites/4/2017/07/em-logo-vert-wo-tag-300x184.png"" srcset=""https://www.proctors.org/wp-content/uploads/sites/4/2017/07/em-logo-vert-wo-tag-300x184.png 300w, https://www.proctors.org/wp-content/uploads/sites/4/2017/07/em-logo-vert-wo-tag-768x471.png 768w, https://www.proctors.org/wp-content/uploads/sites/4/2017/07/em-logo-vert-wo-tag-1024x629.png 1024w, https://www.proctors.org/wp-content/uploads/sites/4/2017/07/em-logo-vert-wo-tag.png 1155w"" width=""300""/>
</div>"
Mrs. Krishnan's Party,"<div class=""content"">
<div class=""show-run"">
<span>Thursday, February 07, 2019</span> to <span>Saturday, February 09, 2019</span> </div>
<div dir=""ltr"" id=""x_divtagdefaultwrapper"">Indians throw crazy parties. </div>
<div dir=""ltr"" id=""x_divtagdefaultwrapper""> </div>
<div dir=""ltr"" id=""x_divtagdefaultwrapper"">Heard of Diwali? A million lamps floating on a river and fireworks to wake the dead.  </div>
<div dir=""ltr"" id=""x_divtagdefaultwrapper"">Heard of Holi? An explosion of colour and joy and massive dry cleaning bills.</div>
<div dir=""ltr"" id=""x_divtagdefaultwrapper""> </div>
<div dir=""ltr"" id=""x_divtagdefaultwrapper"">How about Onam? No?</div>
<div dir=""ltr"" id=""x_divtagdefaultwrapper"">It’s the harvest festival, and this one could be the craziest of them all! Mrs Krishnan’s (<b>Kalyani  Nagarajan</b>) boarder, overzealous wannabe DJ, James (<b>Justin Rogers</b>) has invited a few friends  into the back room of the corner shop as a special surprise to celebrate Onam and the return  home of her son. But when 100 strangers turn up (the audience) and settle in, Mrs. K has no  choice but to throw the party of her life!</div>
</div>"
Film: National Theatre: I’m Not Running,"<div class=""content"">
<div class=""show-run"">
<span>Tuesday, February 19, 2019</span> </div>
<p> </p>
<p>National Theatre presents<br/>
<strong>I’M NOT RUNNING</strong><br/>
by David Hare</p>
<p><em>I’m Not Running</em> is an explosive new play by David Hare, premiering at the National Theatre and broadcast to cinemas.</p>
<p>Pauline Gibson has spent her life as a doctor, the inspiring leader of a local health campaign. When she crosses paths with her old boyfriend, a stalwart loyalist in Labour Party politics, she’s faced with an agonizing decision. What’s involved in sacrificing your private life and your piece of mind for something more than a single issue? Does she dare?</p>
<p>Hare was recently described by The Washington Post as <em>‘the premiere political dramatist writing in English’</em>. His other work includes <em>Pravda</em> and <em>Skylight</em>, broadcast by National Theatre Live in 2014. Running time approximately 180 minutes <em>(to be confirmed once show has opened)</em>. Rating: Treat as PG-13</p>
<p><strong>Tuesday, February 19 at 2pm and 6:30pm</strong></p>
<p>All Tickets: $15</p>
<p> </p>
</div>"
Dr. Seuss’ How the Grinch Stole Christmas! The Musical,"<div class=""content""> <div class=""show-run""> <span>Wednesday, December 05, 2018</span> to <span>Sunday, December 09, 2018</span> </div> <p><img alt="""" class=""alignnone wp-image-2342 size-large"" height=""454"" sizes=""(max-width: 680px) 100vw, 680px"" src=""https://www.proctors.org/wp-content/uploads/sites/4/2018/02/GRINCHb-1024x683.jpg"" srcset=""https://www.proctors.org/wp-content/uploads/sites/4/2018/02/GRINCHb-1024x683.jpg 1024w, https://www.proctors.org/wp-content/uploads/sites/4/2018/02/GRINCHb-300x200.jpg 300w, https://www.proctors.org/wp-content/uploads/sites/4/2018/02/GRINCHb-768x512.jpg 768w, https://www.proctors.org/wp-content/uploads/sites/4/2018/02/GRINCHb.jpg 1200w"" width=""680""/><br/> Tickets start at just $20. <a href=""https://tickets.proctors.org/TheatreManager/95/online"">Buy online</a> or call our Box Office at 518.346.6204</p> <p>Dr. Seuss’ How The Grinch Stole Christmas! The Musical is the record-setting Broadway holiday sensation which features the hit songs “You’re A Mean One Mr. Grinch” and “Welcome Christmas” from the original animated special. Max the Dog narrates as the mean and scheming Grinch, whose heart is “two sizes too small,” decides to steal Christmas away from the Holiday loving Whos. Magnificent sets and costumes inspired by Dr. Seuss’ original illustrations help transport audiences to the whimsical world of Whoville and helps remind us of the true meaning of the holiday season. Don’t miss what The New York Times calls “AN EXTRAORDINARY PERFORMANCE! 100 times better than any bedtime story.”</p> <p>The 5 pm performance on Sunday, December 9 will feature a sign language interpreter. To request access to this section, please call our box office at 518.346.6204</p> <p>Run Time: 85 minutes; no intermission</p> <h3><strong>Special Events and Programs</strong></h3> <div>For all performances of Dr. Seuss’ How the Grinch Stole Christmas! The Musical</div> <div>Print a “Grinchy” coloring sheets and bring into <a href=""https://www.proctors.org/apostrophe-cafe/"">Apostrophe Café</a> (Located in Proctors) colored to redeem for a 10 oz Candy Cane Hot Cocoa for only $1! Your artwork could be hung to be displayed for all to see!</div> <div><a href=""https://www.proctors.org/wp-content/uploads/sites/4/2018/05/Untitled-design-2.pdf""><strong>Click here</strong></a> to print.</div> <div> </div> <p><strong>Lunch with Santa</strong><br/> Santa’s making his list and checking it twice…will YOU be on it?<br/> Whether you’re attending Dr. Seuss’ How The Grinch Stole Christmas! The Musical or looking for a fun family afternoon, Lunch with Santa delights young and old.</p> <p>Having<span class=""x_apple-converted-space""> </span>lunch<span class=""x_apple-converted-space""> </span>with<span class=""x_apple-converted-space""> </span>jolly old St. Nick is sure to get you on the “nice” list.</p> <p>This annual holiday tradition is one of our most popular and seating is limited, so make sure to get your tickets today! To purchase tickets <strong><a href=""https://www.proctors.org/event/lunch-with-santa-2/"">click here</a></strong></p> <p>Looking for the study guide? <a href=""https://school.proctors.org/wp-content/uploads/sites/2/2018/06/GRINCH-STUDY-GUIDE-1.pdf"">Click here</a></p> </div>"
Pretty Much the Best Comedy Show - Feb. 23rd,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, February 23, 2019</span> </div>
<p><a href=""https://www.proctors.org/pmtbcs/"">Pretty Much The Best Comedy Show</a> includes a host, feature act, and guest comedians, providing nearly two hours of entertainment at the Capital Region’s premier alternative comedy room.</p>
<p>Upstate New York’s premiere stand-up showcase, Pretty Much the Best Comedy Show, has been thriving at Proctors since summer 2014, presenting a steady, diverse stream of talent to an ever-growing audience. </p>
<p>Check back soon to find out more information about our headlining comedian!</p>
</div>"
Pretty Much the Best Comedy Show - Mar. 30th,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, March 30, 2019</span> </div>
<p><a href=""https://www.proctors.org/pmtbcs/"">Pretty Much The Best Comedy Show</a> includes a host, feature act, and guest comedians, providing nearly two hours of entertainment at the Capital Region’s premier alternative comedy room.</p>
<p>Upstate New York’s premiere stand-up showcase, Pretty Much the Best Comedy Show, has been thriving at Proctors since summer 2014, presenting a steady, diverse stream of talent to an ever-growing audience. </p>
<p>Check back soon to find out more information about our headlining comedian!</p>
</div>"
Pretty Much the Best Comedy Show - Adam Mamawala,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, December 29, 2018</span> </div>
<p><a href=""https://www.proctors.org/pmtbcs/"">Pretty Much The Best Comedy Show</a> includes a host, feature act, and guest comedians, providing nearly two hours of entertainment at the Capital Region’s premier alternative comedy room.</p>
<p>Upstate New York’s premiere stand-up showcase, Pretty Much the Best Comedy Show, has been thriving at Proctors since summer 2014, presenting a steady, diverse stream of talent to an ever-growing audience. </p>
<img alt="""" class=""size-medium wp-image-5940 alignleft"" height=""273"" sizes=""(max-width: 300px) 100vw, 300px"" src=""https://www.proctors.org/wp-content/uploads/sites/4/2018/10/Adam-002-300x273.png"" srcset=""https://www.proctors.org/wp-content/uploads/sites/4/2018/10/Adam-002-300x273.png 300w, https://www.proctors.org/wp-content/uploads/sites/4/2018/10/Adam-002-768x698.png 768w, https://www.proctors.org/wp-content/uploads/sites/4/2018/10/Adam-002.png 836w"" width=""300""/>
<p>NYC-based stand-up comedian Adam Mamawala will be headlining Pretty Much The Best Comedy Show at Proctors Theatre on Saturday, December 29. His debut album One of the Good Ones, released through Comedy Dynamics, debuted at #1 on the iTunes Comedy Charts in December of 2017. Named one of Funny or Die’s “Top 30 Under 30: Comedians to Watch”, Adam has appeared on Comedy Central, MTV, BET and SeeSo and has headlined over 200 colleges across more than 35 states. Adam’s recent festival appearances include the NBC/Second City Breakout Comedy Festival, Laughing Skull Comedy Festival, and the New York Comedy Festival. He has been featured as Time Out New York’s “Joke of the Week”, has been a Freelance Contributor to Saturday Night Live’s Weekend Update and Someecards, and recently headlined Caroline’s on Broadway, one of NYC’s preeminent comedy clubs! This edition of Pretty Much The Best Comedy Show will include host Ethan Ullman and feature acts for nearly two hours of in-person, live stand-up comedy entertainment. Lineup is subject to change without notice.</p>
</div>"
Jack Hanna's Into the Wild Live!,"<div class=""content""> <div class=""show-run""> <span>Friday, January 11, 2019</span> </div> <p>JACK HANNA’S INTO THE WILD LIVE!<br/> Presented by Nationwide<br/> January 11, 2019</p> <p>Through the jungles of Rwanda to the savannas of Australia, Jungle Jack Hanna has explored the corners of the globe as one of the most visible and respected animal ambassadors. Now he’s bringing his stage show, Jack Hanna’s Into the Wild Live!, to a city near you. Fans of all ages will enjoy stories (from brushing a hippo’s teeth to eating with wombats) and footage from his worldwide adventures. Of course, a visit from Jungle Jack would not be complete without an array of animals such as cheetahs, kangaroos, penguins and many more. Fans of all ages will get to learn more about these fascinating animals in an unforgettable “wild” experience your family will not want to miss.</p> <p>Recognized around the country as America’s favorite zookeeper, Jack has made countless television appearances since 1983 on shows such as Good Morning America, The Late Show with David Letterman, The Late Late Show with James Corden, and FOX and CNN news programs. He is the host of TV’s Emmy award winning Jack Hanna’s Into the Wild and Jack Hanna’s Wild Countdown. Jack is the Director Emeritus of the famed Columbus Zoo and Aquarium and The Wilds.</p> </div>"
Pretty Much the Best Comedy Show - Jan. 26th,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, January 26, 2019</span> </div>
<p><a href=""https://www.proctors.org/pmtbcs/"">Pretty Much The Best Comedy Show</a> includes a host, feature act, and guest comedians, providing nearly two hours of entertainment at the Capital Region’s premier alternative comedy room.</p>
<p>Upstate New York’s premiere stand-up showcase, Pretty Much the Best Comedy Show, has been thriving at Proctors since summer 2014, presenting a steady, diverse stream of talent to an ever-growing audience. </p>
<p>Check back soon to find out more information about our headlining comedian!</p>
</div>"
Pretty Much the Best Comedy Show - Andy Sandford,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, November 24, 2018</span> </div>
<p><a href=""https://www.proctors.org/pmtbcs/"">Pretty Much The Best Comedy Show</a> includes a host, feature act, and guest comedians, providing nearly two hours of entertainment at the Capital Region’s premier alternative comedy room.</p>
<p>Upstate New York’s premiere stand-up showcase, Pretty Much the Best Comedy Show, has been thriving at Proctors since summer 2014, presenting a steady, diverse stream of talent to an ever-growing audience. </p>
<p>Andy Sandford is a comedian who got funny in Atlanta, Georgia and is now based in New York City. He headlines the Thanksgiving Weekend edition of Pretty Much the Best Comedy Show at Proctors Theatre on Saturday, November 24th.</p>
<p>In 2015, Andy made his late night debut on <em>Conan</em>, which was included in The Laugh Button’s “Top 5 Late Night Stand-up Debuts of 2015.” In 2014, Sandford released his album, <em>Me the Whole Time</em>, which made several “best of” lists, including <em>Splitsider’s</em> “9 Best Standup Specials &amp; Albums of 2014.” Andy also played an animated version of himself on Adult Swim’s <em>Aqua Teen Hunger Force</em>. <em>Brooklyn Magazine</em> named Andy one of “Brooklyn’s Funniest People;” <em>the Village</em> Voicecalled him “one of New York’s comedic gems;” and despite all of this, he has managed to remain humble.</p>
<p>His first TV special, <em>Shameful Information</em>, was released in July of this year, to critical acclaim.</p>
<p>“It’s a testament to Sandford’s deep well of material that midway through his album, he’s telling stories that most comics would save for their closers”–<em>The Spit Take</em></p>
<p>“It’s been said that the best comedy comes from pain. If that’s really the case, then somebody must have kicked the #@&amp;% out of Andy Sandford? Sandford is a skillful linguist who carefully plays with pitch, tone and timing to spice up his jokes”–<em>Creative Loafing Magazine.</em></p>
<p>The November 24 edition of Pretty Much The Best Comedy Show will include a hosts Ethan Ullman and Thomas Attila Lewis and feature acts Maria Heinegg and Jordan Jensen. The lineup of the show is subject to change without notice.</p>
</div>"
Diavolo,"<div class=""content"">
<div class=""show-run"">
<span>Wednesday, January 30, 2019</span> </div>
<p>Following their success as one of the top 10 finalists in Season 12 of NBC’s America’s Got Talent, Los Angeles-based DIAVOLO continues pushing a new edge of performance with Artistic Director Jacques Heim’s inventive genius and his fearless, athletic daredevils. With a unique style that encompasses dance, acrobatics, and gymnastics, DIAVOLO explores the relationship between the human body and its surrounding architectural environment.</p>
</div>"
Pretty Much the Best Comedy Show - Apr. 27th,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, April 27, 2019</span> </div>
<p><a href=""https://www.proctors.org/pmtbcs/"">Pretty Much The Best Comedy Show</a> includes a host, feature act, and guest comedians, providing nearly two hours of entertainment at the Capital Region’s premier alternative comedy room.</p>
<p>Upstate New York’s premiere stand-up showcase, Pretty Much the Best Comedy Show, has been thriving at Proctors since summer 2014, presenting a steady, diverse stream of talent to an ever-growing audience. </p>
<p>Check back soon to find out more information about our headlining comedian!</p>
</div>"
Pretty Much the Best Comedy Show - Zach Sherwin,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, October 27, 2018</span> </div>
<p>Pretty Much the Best Comedy Show, Upstate New York’s longest-running independent comedy showcase, welcomes Zach Sherwin to Proctors 8 p.m. Saturday, Zach Sherwin is a comedian, writer, and rapper based in Los Angeles. His television credits include performances on “Totally Biased with W. Kamau Bell” (FX) and “The Pete Holmes Show” (TBS), as well as various appearances on E!, MTV, CNN Headline News, and VH1. He has been a staff writer for the immensely popular YouTube series “Epic Rap Battles of History,” in which he has also portrayed such characters as Stephen King, Sherlock Holmes, and Egon Spengler; in 2014, the RIAA awarded him a gold record for the “Albert Einstein vs. Stephen Hawking” digital single. Zach’s own music videos have been viewed millions of times online, and his albums are available on Comedy Central Records and A Special Thing Records. </p>
<p><a href=""https://www.proctors.org/pmtbcs/"">Pretty Much The Best Comedy Show</a> includes a host, feature act, and guest comedians, providing nearly two hours of entertainment at the Capital Region’s premier alternative comedy room.</p>
</div>"
A Bronx Tale,"<div class=""content"">
<div class=""show-run"">
<span>Tuesday, October 23, 2018</span> to <span>Sunday, October 28, 2018</span> </div>
<img alt="""" class=""wp-image-2283 size-large aligncenter"" height=""444"" sizes=""(max-width: 680px) 100vw, 680px"" src=""https://www.proctors.org/wp-content/uploads/sites/4/2018/01/BronxTale-1024x668.jpg"" srcset=""https://www.proctors.org/wp-content/uploads/sites/4/2018/01/BronxTale-1024x668.jpg 1024w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/BronxTale-300x196.jpg 300w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/BronxTale-768x501.jpg 768w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/BronxTale.jpg 1200w"" width=""680""/>
<p>“Jersey Boys meets West Side Story.”- am</p>
<p>New York Broadway’s hit crowd-pleaser takes you to the stoops of the Bronx in the 1960s- where a young man is caught between the father he loves and the mob boss he’d love to be.</p>
<p>Bursting with high-energy dance numbers and original doo-wop tunes from the songwriter of Beauty and the Beast, A BRONX TALE is an unforgettable story of loyalty and family.</p>
<p>Academy Award® winner Robert De Niro and Tony® winner Jerry Zaks direct this streetwise musical- based on Academy Award nominee Chazz Palminteri’s story- that The New York Times hails as “A Critics’ Pick! The kind of tale that makes you laugh and cry.”</p>
<p>“Wonderful and refreshing! The kind of tale that makes you laugh and cry.” – The New York Times</p>
<p><strong>The Sunday 2 pm performance will feature a sign language interpreter.</strong> To request access to this section, please call our box office at 518.346.6204</p>
<p>Run Time: Act I will be approximately SIXTY (60) minutes long and Act II will run approximately FORTY FIVE (45) minutes. There will be one FIFTEEN (15) minute intermission.</p>
<h2>Special Events and Programs</h2>
<p><strong>Johnny’s Italian Restaurant</strong><br/>
You’re invited to Johnny’s Italian Restaurant after every evening performance of A Bronx Tale for drink specials, live music, finger foods and old-fashioned neighborhood hospitality. Beat the traffic, mingle with cast and crew and keep your night going after the curtain has gone down. No RSVP needed. Just tell ‘em Sonny sent you.<br/>
Johnny’s is located directly across Proctors Theatre on State St., for directions <a href=""https://goo.gl/maps/HiFeGC3mGHy"">click here</a></p>
<p><a href=""https://school.proctors.org/theatretalks/"" rel=""noopener"" target=""_blank""><strong>Henry Schaffer TheatreTalks – October 25, 2018</strong></a><br/>
Henry Schaffer TheatreTalks offer guests exclusive behind-the-scenes discussions with cast, crew and industry professionals! TheatreTalks are FREE and open to all ticket holders. Talk will follow the Thursday matinee performance starting at approximately 4 pm in the GE Theatre. Dates and times subject to change.</p>
<p><strong>Apostrophe Café Thursday Matinee</strong><br/>
Lunch – October 25, 2018<br/>
<a href=""https://tickets.proctors.org/TheatreManager/95/online?performance=32864"">Click here</a> to pre-order your lunch for pick up at Apostrophe Café</p>
<p><strong>Roll Em’ VIP Package</strong><br/>
Be treated like a high roller with the Roll Em’ VIP Package.<br/>
When you purchase the Roll Em’ VIP Package to the Saturday, October 27 or Sunday, October 28 matinees to A Bronx Tale, you receive.<br/>
• Hassle-free parking at Rivers Casino &amp; Resort Schenectady<br/>
• A shuttle bus from Rivers Casino &amp; Resort Schenectady to Proctors for the matinee<br/>
• A return shuttle back to the Rivers Casino &amp; Resort Schenectady for a post-show family-style Italian dinner show with The Mia Scirocco Trio and a complimentary glass of wine.</p>
<p>*No retroactive sales. Valid for 10/27/18 and 10/28/18 matinees only. Valid for Premium, A ticket and B purchases only. Quantities limited. Restrictions apply.</p>
</div>"
